geneid	geneidv1	geneidv2	geneidv3	geneidv4	geneidv5
NCU00300	NCU00300.1	NCU00300.2	NCU00300.3	NCU00300.4	NCU00300.5
NCU00301	NCU00301.1	NCU00301.2	NCU00301.3	NCU00301.4	NCU00301.5
NCU00302	NCU00302.1	NCU00302.2	NCU00302.3	NCU00302.4	NCU00302.5
NCU00303	NCU00303.1	NCU00303.2	NCU00303.3	NCU00303.4	NCU00303.5
NCU00304	NCU00304.1	NCU00304.2	NCU00304.3	NCU00304.4	NCU00304.5
NCU00305	NCU00305.1	NCU00305.2	NCU00305.3	NCU00305.4	NCU00305.5
NCU00306	NCU00306.1	NCU00306.2	NCU00306.3	NCU00306.4	NCU00306.5
NCU00307	NCU00307.1	NCU00307.2	NCU00307.3	NCU00307.4	NCU00307.5
NCU00308	NCU00308.1	NCU00308.2	NCU00308.3	NCU00308.4	NCU00308.5
NCU00309	NCU00309.1	NCU00309.2	NCU00309.3	NCU00309.4	NCU00309.5
NCU00310	NCU00310.1	NCU00310.2	NCU00310.3	NCU00310.4	NCU00310.5
NCU00311	NCU00311.1	NCU00311.2	NCU00311.3	NCU00311.4	NCU00311.5
NCU00312	NCU00312.1	NCU00312.2	NCU00312.3	NCU00312.4	NCU00312.5
NCU00313	NCU00313.1	NCU00313.2	NCU00313.3	NCU00313.4	NCU00313.5
NCU00314	NCU00314.1	NCU00314.2	NCU00314.3	NCU00314.4	NCU00314.5
NCU00315	NCU00315.1	NCU00315.2	NCU00315.3	NCU00315.4	NCU00315.5
NCU00316	NCU00316.1	NCU00316.2	NCU00316.3	NCU00316.4	NCU00316.5
NCU00317	NCU00317.1	NCU00317.2	NCU00317.3	NCU00317.4	NCU00317.5
NCU00318	NCU00318.1	NCU00318.2	NCU00318.3	NCU00318.4	NCU00318.5
NCU00319	NCU00319.1	NCU00319.2	NCU00319.3	NCU00319.4	NCU00319.5
NCU00320	NCU00320.1	NCU00320.2	NCU00320.3	NCU00320.4	NCU00320.5
NCU00321	NCU00321.1	NCU00321.2	NCU00321.3	NCU00321.4	NCU00321.5
NCU00322	NCU00322.1	NCU00322.2	NCU00322.3	NCU00322.4	NCU00322.5
NCU00324	NCU00324.1	NCU00324.2	NCU00324.3	NCU00324.4	NCU00324.5
NCU00325	NCU00325.1	NCU00325.2	NCU00325.3	NCU00325.4	NCU00325.5
NCU00326	NCU00326.1	NCU00326.2	NCU00326.3	NCU00326.4	NCU00326.5
NCU00327	NCU00327.1	NCU00327.2	NCU00327.3	NCU00327.4	NCU00327.5
NCU00329	NCU00329.1	NCU00329.2	NCU00329.3	NCU00329.4	NCU00329.5
NCU00330	NCU00330.1	NCU00330.2	NCU00330.3	NCU00330.4	NCU00330.5
NCU00331	NCU00331.1	NCU00331.2	NCU00331.3	NCU00331.4	NCU00331.5
NCU00332	NCU00332.1	NCU00332.2	NCU00332.3	NCU00332.4	NCU00332.5
